hid,date,state,lastTouched,type,date_ts,lastTouched_ts,session_year,dr_changed,dr_changed_ts,subject
907,2015-09-03,CA,"2017-01-10 04:15:48",Regular,1441238400,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
908,2016-03-09,CA,"2017-01-10 04:15:48",Informational,1457481600,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
909,2015-09-03,CA,"2017-01-10 04:15:48",Regular,1441238400,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
910,2015-09-04,CA,"2017-01-10 04:15:48",Regular,1441324800,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
911,2015-09-04,CA,"2017-01-10 04:15:48",Regular,1441324800,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
912,2015-09-08,CA,"2017-01-10 04:15:48",Regular,1441670400,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
913,2015-09-10,CA,"2017-01-10 04:15:48",Regular,1441843200,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
914,2016-03-28,CA,"2017-01-10 04:15:48",Budget,1459123200,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
915,2016-03-28,CA,"2017-01-10 04:15:48",Regular,1459123200,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
916,2016-03-28,CA,"2017-01-10 04:15:48",Regular,1459123200,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
917,2016-03-29,CA,"2017-01-10 04:15:48",Budget,1459209600,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
918,2016-03-28,CA,"2017-01-10 04:15:48",Informational,1459123200,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
919,2016-03-29,CA,"2017-01-10 04:15:48",Regular,1459209600,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
920,2016-03-28,CA,"2017-01-10 04:15:48",Budget,1459123200,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
921,2016-03-29,CA,"2017-01-10 04:15:48",Regular,1459209600,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
922,2016-03-29,CA,"2017-01-10 04:15:48",Regular,1459209600,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
923,2016-03-29,CA,"2017-01-10 04:15:48",Regular,1459209600,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
924,2016-03-29,CA,"2017-01-10 04:15:48",Regular,1459209600,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
925,2016-03-29,CA,"2017-01-10 04:15:48",Regular,1459209600,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
926,2016-03-29,CA,"2017-01-10 04:15:48",Regular,1459209600,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
927,2016-03-30,CA,"2017-01-10 04:15:48",Regular,1459296000,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
